id,name,city,rating,rating_count,cuisine,cost,link
488027,Food Bite,Ahmedabad,2.7,20,Fast Food,400,https://www.swiggy.com/restaurants/food-bite-navrangpura-ahmedabad-488027
488030,OMSAKTHI CHIKEN CENTER,Virudhunagar,3.7,20,Chinese,200,https://www.swiggy.com/restaurants/omsakthi-chiken-center-fathimanagar-virudhunagar-488030
488032,HOT CHICKEN  Fried Chicken,Sivakasi,3.9,20,Pizzas,200,https://www.swiggy.com/restaurants/hot-chicken-fried-chicken-sivakasi-sivakasi-488032
488038,SUPER STAR BIRYANI,Virudhunagar,4.2,50,Biryani,200,https://www.swiggy.com/restaurants/super-star-biryani-fathimanagar-virudhunagar-488038
488040,Hotel Kiwi,Hoshiarpur,3.8,20,North Indian,250,https://www.swiggy.com/restaurants/hotel-kiwi-preet-nagar-hoshiarpur-488040
488076,apple ice  cream,Muktsar,4.6,50,Desserts,100,https://www.swiggy.com/restaurants/apple-ice-cream-muktsar-city-muktsar-488076
488083,What A Sandwich!,Ahmedabad,3.3,20,Snacks,300,https://www.swiggy.com/restaurants/what-a-sandwich-gandhinagar-ahmedabad-488083
488095,SRI VENKATESWARA TIFFINS,Vizag,4,100,South Indian,100,https://www.swiggy.com/restaurants/sri-venkateswara-tiffins-n-a-d-gopalapatnam-vizag-488095
488099,The Himalayan Momo Company,Bangalore,4.3,100,Chinese,300,https://www.swiggy.com/restaurants/the-himalayan-momo-company-hsr-bangalore-488099
488126,Pepper Pot,Kozhikode,3.7,100,American,350,https://www.swiggy.com/restaurants/pepper-pot-mavoor-kozhikode-488126
488143,SNACKS POINT,Bangalore,4.2,20,Fast Food,200,https://www.swiggy.com/restaurants/snacks-point-hsr-bangalore-488143
488145,Cream & Fudge,Trichy,4.1,20,Ice Cream,200,https://www.swiggy.com/restaurants/cream-and-fudge-kattur-trichy-488145
488147,Mr Pulao,Nellore,3.8,100,North Indian,250,https://www.swiggy.com/restaurants/mr-pulao-nellore-area-nellore-488147
488150,Shreeji Icecream,Mumbai,4.6,20,Ice Cream,100,https://www.swiggy.com/restaurants/shreeji-icecream-vasai-mumbai-488150
488156,The Dessert Heaven - Pure Veg,Nellore,4.1,50,Bakery,200,https://www.swiggy.com/restaurants/the-dessert-heaven-pure-veg-nellore-area-nellore-488156
488165,CakeZone,Nellore,4,100,Bakery,200,https://www.swiggy.com/restaurants/cakezone-nellore-area-nellore-488165
488166,The Momo Co.,Mysore,4.1,100,Chinese,250,https://www.swiggy.com/restaurants/the-momo-co-mysore-south-mysore-488166
488178,Andhra Gunpowder,Chennai,4.2,100,Andhra,350,https://www.swiggy.com/restaurants/andhra-gunpowder-chrompet-arekere-chennai-488178
488181,HAVMOR HAVFUNN PERAMBUR,Chennai,4.3,20,Ice Cream,200,https://www.swiggy.com/restaurants/havmor-havfunn-perambur-perambur-chennai-488181
488184,Rolls & Bowls Company,Mysore,3.5,50,Snacks,250,https://www.swiggy.com/restaurants/rolls-and-bowls-company-mysore-south-mysore-488184
488185,The Greedy Man Pizzeria,Bangalore,4.5,20,Pizzas,500,https://www.swiggy.com/restaurants/the-greedy-man-pizzeria-indiranagar-bangalore-488185
488211,The Momo Co,Bangalore,3.9,20,Chinese,250,https://www.swiggy.com/restaurants/the-momo-co-marathahalli-bangalore-488211
488218,Acai Restaurant,Kunnamkullam,3.7,50,Biryani,300,https://www.swiggy.com/restaurants/acai-restaurant-guruvayur-thrissur-488218
488222,KARAIKUDI VAZHAI ILAI PAROTTA KADAI,Tirupur,3,20,South Indian,400,https://www.swiggy.com/restaurants/karaikudi-vazhai-ilai-parotta-kadai-north-tirupur-tirupur-488222
488226,Nanking Bhimsing,Nadiad,3.2,20,Chinese,200,https://www.swiggy.com/restaurants/nanking-bhimsing-nadiad-city-nadiad-488226
488228,WHITESMOKE BBQ & CAFE,Mahbubnagar,3.1,20,Barbecue,200,https://www.swiggy.com/restaurants/whitesmoke-bbq-and-cafe-marlu-yenugonda-mahbubnagar-488228
488229,Hunko Mukho Hyangla,Kanchrapara,4,20,Bengali,300,https://www.swiggy.com/restaurants/hunko-mukho-hyangla-kalyani-kolkata-488229
488235,LABBAIK FAMILY RESTAURANT,Guntakal,3.5,50,Indian,300,https://www.swiggy.com/restaurants/labbaik-family-restaurant-guntakal-rtc-guntakal-488235
488245,Samosa Party,Bangalore,4.3,100,Chaat,150,https://www.swiggy.com/restaurants/samosa-party-mahadevpura-bangalore-488245
488272,Makazai,Manipal,4,100,Biryani,400,https://www.swiggy.com/restaurants/makazai-manipal-manipal-488272
488326,Home's Cafe,Hassan,3.3,20,Chinese,200,https://www.swiggy.com/restaurants/homes-cafe-hassan-city-hassan-488326
488328,HEALTHY WAY,Madurai,4.3,50,South Indian,250,https://www.swiggy.com/restaurants/healthy-way-periyar-madurai-488328
488331,Baba Punjabi,Bangalore,4.3,20,North Indian,300,https://www.swiggy.com/restaurants/baba-punjabi-jp-nagar-bangalore-488331
488332,TIRUPATI SOUTH INDIAN RESTRO,Lucknow,4,20,South Indian,250,https://www.swiggy.com/restaurants/tirupati-south-indian-restro-aliganj-lucknow-488332
488344,Francesco's Pizzeria,Bikaner,3.5,50,Pizzas,700,https://www.swiggy.com/restaurants/francescos-pizzeria-jalvayu-towers-south-point-mall-gurgaon-488344
488350,Dosa House,Morbi,4.5,20,Punjabi,200,https://www.swiggy.com/restaurants/dosa-house-race-course-road-kuvadava-road-rajkot-488350
488353,DIVE-IN DOSA,Lucknow,3.3,50,South Indian,200,https://www.swiggy.com/restaurants/dive-in-dosa-aliganj-lucknow-488353
488361,M/S. DELHI CHAT WALA,Nellore,2.5,20,Chaat,100,https://www.swiggy.com/restaurants/m-s-delhi-chat-wala-stonehouse-pet-nellore-488361
488363,Shivam Fast Food,Surat,3.7,20,Street Food,150,https://www.swiggy.com/restaurants/shivam-fast-food-athwa-surat-488363
488375,The Belgian Waffle Co.,Jamnagar,4.4,20,Desserts,200,https://www.swiggy.com/restaurants/the-belgian-waffle-co-palace-road-jamnagar-488375
488398,TASTE BUDS,Guntakal,3.6,50,Italian,300,https://www.swiggy.com/restaurants/taste-buds-guntakal-rtc-guntakal-488398
488426,Litti Hut,Varanasi,3.9,20,Bihari,300,https://www.swiggy.com/restaurants/litti-hut-nariya-varanasi-488426
488429,Madhura Tiffins and Meals,Nizamabad,3.5,20,South Indian,250,https://www.swiggy.com/restaurants/madhura-tiffins-and-meals-puhlong-x-road-nizamabad-488429
488438,Kelvin Scale Shakes,Vizag,3.8,20,Beverages,200,https://www.swiggy.com/restaurants/kelvin-scale-shakes-mvp-colony-vizag-488438
488443,Taste of Rajasthani Snacks,Vadodara,3.7,20,Snacks,100,https://www.swiggy.com/restaurants/taste-of-rajasthani-snacks-vadiwadi-vadodara-488443
488444,Tekup and Sizzly Chicken,Chidambaram,3.2,20,Fast Food,300,https://www.swiggy.com/restaurants/tekup-and-sizzly-chicken-chidambaram-chidambaram-488444
488512,Cream & Cheese,Kolkata,3.9,20,Italian,400,https://www.swiggy.com/restaurants/cream-and-cheese-rajarhat-kolkata-488512
488514,Happy Meat,Chennai,4.1,50,Desserts,350,https://www.swiggy.com/restaurants/happy-meat-kodambakkam-vadapalani-chennai-488514
488516,Nino Burgers,Bikaner,3.7,20,American,600,https://www.swiggy.com/restaurants/nino-burgers-jalvayu-towers-south-point-mall-gurgaon-488516
488518,Hanu's Naivedyam,Varanasi,2.6,20,South Indian,200,https://www.swiggy.com/restaurants/hanus-naivedyam-sigra-varanasi-488518
488526,Thali On,Allahabad,3.3,20,Thalis,199,https://www.swiggy.com/restaurants/thali-on-katra-allahabad-488526
488530,Anifa Biriyani,Madurai,3.9,100,Biryani,350,https://www.swiggy.com/restaurants/anifa-biriyani-kk-nagar-mattuthavani-road-madurai-488530
488541,Chitti Muthuyalu Biryani,Tirupati,3,20,Biryani,250,https://www.swiggy.com/restaurants/chitti-muthuyalu-biryani-tata-nagar-tirupati-488541
488545,Bismillah Kabab Center,Bangalore,3.7,20,Kebabs,200,https://www.swiggy.com/restaurants/bismillah-kabab-center-kammanahalli-kalyan-nagar-bangalore-488545
488550,Biryani Blues,Chandigarh,4,100,Hyderabadi,400,https://www.swiggy.com/restaurants/biryani-blues-panchkula-chandigarh-488550
488568,Thinking Cup Cafe & Restro,Junagadh,3.4,20,Beverages,300,https://www.swiggy.com/restaurants/thinking-cup-cafe-and-restro-joshipura-junagadh-488568
488576,AFC Food Corner,Delhi,4.7,20,North Indian,300,https://www.swiggy.com/restaurants/afc-food-corner-greater-kailash-2-jasola-delhi-488576
488577,Urban Meals,Surat,3.5,20,Thalis,400,https://www.swiggy.com/restaurants/urban-meals-athwa-ghod-dod-road-surat-488577
488578,Mataam,Delhi,3.8,50,Italian,300,https://www.swiggy.com/restaurants/mataam-nsp-delhi-488578
488592,BEB-Best English Breakfast,Bangalore,4.1,50,American,250,https://www.swiggy.com/restaurants/beb-best-english-breakfast-btm-bangalore-488592
488609,HOTEL GARIB NAWAZ BIRYANI CENTRE VEG AND NON VEG,Katni,4.2,50,Biryani,200,https://www.swiggy.com/restaurants/hotel-garib-nawaz-biryani-centre-veg-and-non-veg-katni-city-katni-488609
488616,vihari grand,Tadpatri,3.1,20,Chinese,300,https://www.swiggy.com/restaurants/vihari-grand-krishna-puram-tadpatri-488616
488624,BeeGood Meals,Mumbai,4.3,20,Healthy Food,600,https://www.swiggy.com/restaurants/beegood-meals-mulund-mumbai-488624
488637,Tea Triangle,Kadapa,3.9,20,Beverages,200,https://www.swiggy.com/restaurants/tea-triangle-new-busstand-kadapa-488637
488670,CLUB 4 SHAWARMA CORNER,Thrissur,3.8,20,Arabian,300,https://www.swiggy.com/restaurants/club-4-shawarma-corner-poothole-thrissur-488670
488691,WAY SIDE INN,Cherthala,3.5,100,South Indian,250,https://www.swiggy.com/restaurants/way-side-inn-cherthala-alappuzha-488691
488727,AL halal briyani kebab,Chennai,3.7,20,Biryani,320,https://www.swiggy.com/restaurants/al-halal-briyani-kebab-porur-chennai-488727
488739,The Best Tiffins,Srikakulam,4,100,South Indian,250,https://www.swiggy.com/restaurants/the-best-tiffins-gujarathipeta-srikakulam-488739
488741,Favourite Fried Chicken(FFC),Madanapalle,2.6,50,Arabian,200,https://www.swiggy.com/restaurants/favourite-fried-chicken-ffc-basinikonda-madanapalle-488741
488745,BAWARCHI SERVICES,Deoghar,2.8,20,North Indian,250,https://www.swiggy.com/restaurants/bawarchi-services-bompas-town-deoghar-488745
